時間,電壓,電流,SOC,Temp Max,Temp Min,CellV Max,CellV Min,CHG_Current,DSG_Current,Basic_Status0,Basic_Status1,Basic_Status2,ExtendedStatus,SOCStatus,ErrorCode,Relay/Mos,Cycle,FW Version
"2025-01-14T01:11:13Z
","50.84 V
","71.89 A
","33 %
","32.8 C
","14.7 C
","3.492 V
","3.368 V
","71.89 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:13Z
","50.84 V
","71.89 A
","33 %
","32.8 C
","14.7 C
","3.492 V
","3.368 V
","71.89 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:14Z
","50.84 V
","71.89 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.367 V
","71.89 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:15Z
","50.86 V
","71.93 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.367 V
","71.93 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:16Z
","50.86 V
","71.93 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.367 V
","71.93 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:16Z
","50.87 V
","71.99 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.367 V
","71.99 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:17Z
","50.87 V
","71.99 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.367 V
","71.99 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:17Z
","50.87 V
","71.99 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.367 V
","71.99 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:18Z
","50.87 V
","71.99 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.369 V
","71.99 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:18Z
","50.88 V
","71.94 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.369 V
","71.94 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:19Z
","50.88 V
","71.94 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.369 V
","71.94 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:19Z
","50.88 V
","71.94 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.369 V
","71.94 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:20Z
","50.88 V
","71.94 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.369 V
","71.94 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:20Z
","50.88 V
","71.94 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.369 V
","71.94 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:21Z
","50.89 V
","71.95 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.369 V
","71.95 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:21Z
","50.89 V
","71.95 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.369 V
","71.95 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:22Z
","50.89 V
","71.95 A
","33 %
","32.8 C
","14.7 C
","3.493 V
","3.369 V
","71.95 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:23Z
","50.9 V
","71.95 A
","33 %
","32.8 C
","14.7 C
","3.494 V
","3.37 V
","71.95 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:24Z
","50.9 V
","71.95 A
","33 %
","32.8 C
","14.7 C
","3.494 V
","3.371 V
","71.95 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:24Z
","50.9 V
","71.95 A
","33 %
","32.8 C
","14.7 C
","3.494 V
","3.371 V
","71.95 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:25Z
","50.88 V
","72.04 A
","33 %
","32.8 C
","14.7 C
","3.494 V
","3.371 V
","72.04 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:25Z
","50.88 V
","72.04 A
","33 %
","32.8 C
","14.7 C
","3.494 V
","3.371 V
","72.04 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:26Z
","50.88 V
","72.04 A
","33 %
","32.8 C
","14.7 C
","3.494 V
","3.371 V
","72.04 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:26Z
","50.88 V
","72.04 A
","33 %
","32.8 C
","14.7 C
","3.494 V
","3.371 V
","72.04 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:27Z
","50.88 V
","72.04 A
","33 %
","32.8 C
","14.7 C
","3.495 V
","3.371 V
","72.04 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:27Z
","50.87 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.495 V
","3.371 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:28Z
","50.87 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.495 V
","3.371 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:28Z
","50.87 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.495 V
","3.371 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:29Z
","50.87 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.495 V
","3.368 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:29Z
","50.87 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.495 V
","3.368 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:30Z
","50.91 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.495 V
","3.368 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:30Z
","50.91 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.495 V
","3.368 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:31Z
","50.91 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.368 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:31Z
","50.91 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.368 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:32Z
","50.91 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:32Z
","50.92 V
","71.98 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","71.98 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:33Z
","50.92 V
","71.98 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","71.98 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:33Z
","50.92 V
","71.98 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","71.98 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:34Z
","50.92 V
","71.98 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","71.98 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:34Z
","50.92 V
","71.98 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","71.98 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:35Z
","50.92 V
","71.83 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","71.83 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:35Z
","50.92 V
","71.83 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","71.83 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:36Z
","50.92 V
","71.83 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","71.83 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:36Z
","50.92 V
","71.83 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","71.83 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:37Z
","50.93 V
","72.06 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","72.06 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:37Z
","50.93 V
","72.06 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","72.06 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:38Z
","50.93 V
","72.06 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","72.06 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:38Z
","50.93 V
","72.06 A
","33 %
","32.8 C
","14.7 C
","3.496 V
","3.372 V
","72.06 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:39Z
","50.93 V
","72.06 A
","33 %
","32.8 C
","14.7 C
","3.497 V
","3.373 V
","72.06 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:39Z
","50.92 V
","72.12 A
","33 %
","32.8 C
","14.7 C
","3.497 V
","3.373 V
","72.12 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:40Z
","50.92 V
","72.12 A
","33 %
","32.8 C
","14.7 C
","3.497 V
","3.373 V
","72.12 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:40Z
","50.92 V
","72.12 A
","33 %
","32.8 C
","14.7 C
","3.497 V
","3.373 V
","72.12 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:41Z
","50.92 V
","72.12 A
","33 %
","32.8 C
","14.7 C
","3.498 V
","3.37 V
","72.12 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:41Z
","50.92 V
","72.12 A
","33 %
","32.8 C
","14.7 C
","3.498 V
","3.37 V
","72.12 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:42Z
","50.91 V
","72.14 A
","33 %
","32.8 C
","14.7 C
","3.498 V
","3.37 V
","72.14 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:43Z
","50.91 V
","72.14 A
","33 %
","32.8 C
","14.7 C
","3.498 V
","3.37 V
","72.14 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:44Z
","50.93 V
","72.2 A
","33 %
","32.8 C
","14.7 C
","3.498 V
","3.374 V
","72.2 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:45Z
","50.93 V
","72.2 A
","33 %
","32.8 C
","14.7 C
","3.498 V
","3.374 V
","72.2 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:45Z
","50.93 V
","72.2 A
","33 %
","32.8 C
","14.7 C
","3.498 V
","3.374 V
","72.2 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:46Z
","50.93 V
","72.2 A
","33 %
","32.8 C
","14.7 C
","3.498 V
","3.374 V
","72.2 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:47Z
","50.95 V
","72.2 A
","33 %
","32.8 C
","14.7 C
","3.498 V
","3.374 V
","72.2 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:47Z
","50.95 V
","72.2 A
","33 %
","32.8 C
","14.7 C
","3.498 V
","3.374 V
","72.2 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:48Z
","50.95 V
","72.1 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.374 V
","72.1 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:49Z
","50.95 V
","72.1 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.374 V
","72.1 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:49Z
","50.95 V
","72.1 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.374 V
","72.1 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:50Z
","50.95 V
","72.1 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.1 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:50Z
","50.95 V
","72.1 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.1 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:51Z
","50.96 V
","72.01 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.01 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:51Z
","50.96 V
","72.01 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.01 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:52Z
","50.96 V
","72.01 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.01 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:52Z
","50.96 V
","72.01 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.01 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:53Z
","50.96 V
","72.01 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.01 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:53Z
","50.94 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:54Z
","50.94 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:54Z
","50.94 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:55Z
","50.94 V
","72.02 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.372 V
","72.02 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:55Z
","50.95 V
","71.97 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.372 V
","71.97 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:56Z
","50.95 V
","71.97 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.372 V
","71.97 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:56Z
","50.95 V
","71.97 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.372 V
","71.97 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:57Z
","50.95 V
","71.97 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","71.97 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:57Z
","50.95 V
","71.97 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","71.97 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:58Z
","50.95 V
","72.04 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.04 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:58Z
","50.95 V
","72.04 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.04 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:59Z
","50.95 V
","72.04 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.04 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:59Z
","50.95 V
","72.04 A
","33 %
","32.8 C
","14.7 C
","3.499 V
","3.375 V
","72.04 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:00Z
","50.95 V
","72.04 A
","33 %
","32.8 C
","14.7 C
","3.5 V
","3.375 V
","72.04 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:00Z
","50.95 V
","72.05 A
","33 %
","32.8 C
","14.7 C
","3.5 V
","3.375 V
","72.05 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:01Z
","50.95 V
","72.05 A
","33 %
","32.8 C
","14.7 C
","3.5 V
","3.375 V
","72.05 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:01Z
","50.95 V
","72.05 A
","33 %
","32.8 C
","14.7 C
","3.5 V
","3.375 V
","72.05 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:02Z
","50.95 V
","72.05 A
","33 %
","32.8 C
","14.7 C
","3.501 V
","3.376 V
","72.05 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:02Z
","50.95 V
","72.05 A
","33 %
","32.8 C
","14.7 C
","3.501 V
","3.376 V
","72.05 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:03Z
","50.97 V
","72.08 A
","33 %
","32.8 C
","14.7 C
","3.501 V
","3.376 V
","72.08 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:17Z
","50.96 V
","72.2 A
","33 %
","32.8 C
","14.7 C
","3.502 V
","3.373 V
","72.2 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:18Z
","50.96 V
","72.15 A
","33 %
","32.8 C
","14.7 C
","3.502 V
","3.373 V
","72.15 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:18Z
","50.96 V
","72.15 A
","33 %
","32.8 C
","14.7 C
","3.502 V
","3.373 V
","72.15 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:19Z
","50.96 V
","72.15 A
","33 %
","32.8 C
","14.7 C
","3.503 V
","3.373 V
","72.15 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:19Z
","50.96 V
","72.15 A
","33 %
","32.8 C
","14.7 C
","3.503 V
","3.373 V
","72.15 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:20Z
","50.96 V
","72.14 A
","33 %
","32.8 C
","14.7 C
","3.503 V
","3.373 V
","72.14 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:20Z
","50.96 V
","72.14 A
","33 %
","32.8 C
","14.7 C
","3.503 V
","3.373 V
","72.14 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:21Z
","50.96 V
","72.14 A
","33 %
","32.8 C
","14.7 C
","3.503 V
","3.373 V
","72.14 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:21Z
","50.96 V
","72.14 A
","33 %
","32.8 C
","14.7 C
","3.503 V
","3.373 V
","72.14 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:44Z
","50.99 V
","72.13 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.375 V
","72.13 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:44Z
","50.99 V
","72.13 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.375 V
","72.13 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:45Z
","50.99 V
","72.13 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.375 V
","72.13 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:45Z
","50.98 V
","72.13 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.375 V
","72.13 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:46Z
","50.98 V
","71.96 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.375 V
","71.96 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:46Z
","50.98 V
","71.96 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.375 V
","71.96 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:47Z
","50.98 V
","71.96 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.376 V
","71.96 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:47Z
","50.98 V
","71.96 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.376 V
","71.96 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:48Z
","50.99 V
","71.88 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.376 V
","71.88 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:48Z
","50.99 V
","71.88 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.376 V
","71.88 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:49Z
","50.99 V
","71.88 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.376 V
","71.88 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:49Z
","50.99 V
","71.88 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.376 V
","71.88 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:50Z
","50.99 V
","71.88 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.376 V
","71.88 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:50Z
","50.99 V
","71.88 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.376 V
","71.88 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:51Z
","50.99 V
","71.88 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.376 V
","71.88 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:12:52Z
","50.99 V
","71.88 A
","33 %
","32.8 C
","14.7 C
","3.504 V
","3.376 V
","71.88 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
